,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,pearson,None,200,190,0.0,0.0,0,190,0.1,300,9.426666666666666,0.0,180.57333333333332,0.0,0.056666666666666664,1.0
1,pearson,None,200,190,0.1,0.0,0,190,0.1,300,9.16,0.0,180.84,0.0,0.056666666666666664,1.0
2,pearson,None,200,190,0.2,0.0,0,190,0.1,300,7.86,0.0,182.14,0.0,0.056666666666666664,1.0
3,pearson,None,200,190,0.30000000000000004,0.0,0,190,0.1,300,8.636666666666667,0.0,181.36333333333334,0.0,0.04,1.0
4,pearson,None,200,190,0.4,0.0,0,190,0.1,300,8.336666666666666,0.0,181.66333333333333,0.0,0.06666666666666667,1.0
5,pearson,None,200,190,0.5,0.0,0,190,0.1,300,7.4366666666666665,0.0,182.56333333333333,0.0,0.08666666666666667,1.0
6,pearson,None,200,190,0.6000000000000001,0.0,0,190,0.1,300,7.666666666666667,0.0,182.33333333333334,0.0,0.08666666666666667,1.0
7,pearson,None,200,190,0.7000000000000001,0.0,0,190,0.1,300,7.423333333333333,0.0,182.57666666666665,0.0,0.11666666666666667,1.0
8,pearson,None,200,190,0.8,0.0,0,190,0.1,300,5.503333333333333,0.0,184.49666666666667,0.0,0.13,1.0
9,pearson,None,200,190,0.9,0.0,0,190,0.1,300,3.76,0.0,186.24,0.0,0.15666666666666668,1.0
10,pearson,None,200,190,1.0,0.0,0,190,0.1,300,1.9266666666666667,0.0,188.07333333333332,0.0,0.3,1.0
11,pearson,None,200,190,0.0,0.2,28,162,0.1,300,16.61,18.266666666666666,145.39,9.733333333333333,0.02,0.006666666666666667
12,pearson,None,200,190,0.1,0.2,28,162,0.1,300,16.076666666666668,18.093333333333334,145.92333333333335,9.906666666666666,0.016666666666666666,0.006666666666666667
13,pearson,None,200,190,0.2,0.2,28,162,0.1,300,17.16,18.453333333333333,144.84,9.546666666666667,0.02,0.006666666666666667
14,pearson,None,200,190,0.30000000000000004,0.2,28,162,0.1,300,14.853333333333333,18.2,147.14666666666668,9.8,0.016666666666666666,0.01
15,pearson,None,200,190,0.4,0.2,28,162,0.1,300,16.31,18.286666666666665,145.69,9.713333333333333,0.023333333333333334,0.0
16,pearson,None,200,190,0.5,0.2,28,162,0.1,300,15.656666666666666,18.236666666666668,146.34333333333333,9.763333333333334,0.02,0.0
17,pearson,None,200,190,0.6000000000000001,0.2,28,162,0.1,300,14.503333333333334,19.416666666666668,147.49666666666667,8.583333333333334,0.02,0.006666666666666667
18,pearson,None,200,190,0.7000000000000001,0.2,28,162,0.1,300,12.796666666666667,19.236666666666668,149.20333333333335,8.763333333333334,0.016666666666666666,0.0
19,pearson,None,200,190,0.8,0.2,28,162,0.1,300,12.17,19.626666666666665,149.83,8.373333333333333,0.02666666666666667,0.01
20,pearson,None,200,190,0.9,0.2,28,162,0.1,300,9.073333333333334,19.946666666666665,152.92666666666668,8.053333333333333,0.05,0.006666666666666667
21,pearson,None,200,190,1.0,0.2,28,162,0.1,300,4.8966666666666665,20.976666666666667,157.10333333333332,7.023333333333333,0.09666666666666666,0.01
22,pearson,None,200,190,0.0,0.4,105,85,0.1,300,13.356666666666667,78.35,71.64333333333333,26.65,0.02666666666666667,0.0
23,pearson,None,200,190,0.1,0.4,105,85,0.1,300,12.32,77.00666666666666,72.68,27.993333333333332,0.016666666666666666,0.0
24,pearson,None,200,190,0.2,0.4,105,85,0.1,300,12.043333333333333,77.06,72.95666666666666,27.94,0.023333333333333334,0.0
25,pearson,None,200,190,0.30000000000000004,0.4,105,85,0.1,300,12.633333333333333,78.79333333333334,72.36666666666666,26.206666666666667,0.01,0.0
26,pearson,None,200,190,0.4,0.4,105,85,0.1,300,12.426666666666666,79.18333333333334,72.57333333333334,25.816666666666666,0.023333333333333334,0.0
27,pearson,None,200,190,0.5,0.4,105,85,0.1,300,10.963333333333333,77.82666666666667,74.03666666666666,27.173333333333332,0.016666666666666666,0.0
28,pearson,None,200,190,0.6000000000000001,0.4,105,85,0.1,300,11.156666666666666,79.97666666666667,73.84333333333333,25.023333333333333,0.013333333333333334,0.0
29,pearson,None,200,190,0.7000000000000001,0.4,105,85,0.1,300,10.45,81.72333333333333,74.55,23.276666666666667,0.03,0.0
30,pearson,None,200,190,0.8,0.4,105,85,0.1,300,9.823333333333334,82.59333333333333,75.17666666666666,22.406666666666666,0.023333333333333334,0.0
31,pearson,None,200,190,0.9,0.4,105,85,0.1,300,7.78,84.21666666666667,77.22,20.783333333333335,0.043333333333333335,0.0
32,pearson,None,200,190,1.0,0.4,105,85,0.1,300,4.94,88.02666666666667,80.06,16.973333333333333,0.07666666666666666,0.0
33,pearson,None,200,190,0.0,0.6,165,25,0.1,300,5.07,145.99666666666667,19.93,19.003333333333334,0.11333333333333333,0.016666666666666666
34,pearson,None,200,190,0.1,0.6,165,25,0.1,300,4.916666666666667,146.83333333333334,20.083333333333332,18.166666666666668,0.11666666666666667,0.01
35,pearson,None,200,190,0.2,0.6,165,25,0.1,300,5.173333333333333,145.79333333333332,19.826666666666668,19.206666666666667,0.11,0.0033333333333333335
36,pearson,None,200,190,0.30000000000000004,0.6,165,25,0.1,300,4.8533333333333335,146.61,20.14666666666667,18.39,0.11,0.0033333333333333335
37,pearson,None,200,190,0.4,0.6,165,25,0.1,300,5.08,147.20333333333335,19.92,17.796666666666667,0.11333333333333333,0.013333333333333334
38,pearson,None,200,190,0.5,0.6,165,25,0.1,300,4.886666666666667,148.92666666666668,20.113333333333333,16.073333333333334,0.10666666666666667,0.0033333333333333335
39,pearson,None,200,190,0.6000000000000001,0.6,165,25,0.1,300,4.726666666666667,148.27,20.273333333333333,16.73,0.09666666666666666,0.02
40,pearson,None,200,190,0.7000000000000001,0.6,165,25,0.1,300,4.53,150.07,20.47,14.93,0.10666666666666667,0.013333333333333334
41,pearson,None,200,190,0.8,0.6,165,25,0.1,300,4.253333333333333,150.37333333333333,20.746666666666666,14.626666666666667,0.15,0.006666666666666667
42,pearson,None,200,190,0.9,0.6,165,25,0.1,300,3.45,151.86333333333334,21.55,13.136666666666667,0.18333333333333332,0.02
43,pearson,None,200,190,1.0,0.6,165,25,0.1,300,2.953333333333333,156.69333333333333,22.046666666666667,8.306666666666667,0.21,0.04666666666666667
44,pearson,None,200,190,0.0,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
45,pearson,None,200,190,0.1,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
46,pearson,None,200,190,0.2,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
47,pearson,None,200,190,0.30000000000000004,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
48,pearson,None,200,190,0.4,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
49,pearson,None,200,190,0.5,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
50,pearson,None,200,190,0.6000000000000001,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
51,pearson,None,200,190,0.7000000000000001,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
52,pearson,None,200,190,0.8,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
53,pearson,None,200,190,0.9,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
54,pearson,None,200,190,1.0,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
