Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-31,94.86197701734825,95.83972976712717,93.75582739288255,94.58543395996094,1383700,0.0,0
2021-01-04,94.87185224385345,96.91624856056579,94.121257944549,95.54344177246094,2159100,0.0,0
2021-01-05,95.7310897807462,100.60011175895708,95.61257132752417,100.3136978149414,2934200,0.0,0
2021-01-06,98.72362032850232,104.49139083334184,98.72362032850232,102.32847595214844,3650000,0.0,0
2021-01-07,103.54324740397362,111.3554135119585,103.40497964410024,110.50605010986328,4522300,0.0,0
2021-01-08,110.23939181366325,113.38005917599743,109.45916229998284,113.15290069580078,3377800,0.0,0
2021-01-11,109.62706631187652,110.58506980867492,107.69131000913147,107.84932708740234,3376700,0.0,0
2021-01-12,107.40488755926538,108.708560375825,104.74815735463653,106.12096405029297,2397900,0.0,0
2021-01-13,104.29385941408918,106.45677428190056,104.20497621761785,105.7259292602539,2723300,0.0,0
2021-01-14,107.14810259036399,107.18760874102328,103.3457241259836,103.47411346435547,3573700,0.0,0
2021-01-15,104.02719649722141,105.38024642391267,102.8420345317293,103.78028869628906,1308400,0.0,0
2021-01-19,106.40737954639728,109.0048543312786,106.20985632752144,108.73818969726562,2234100,0.0,0
2021-01-20,111.33566783535623,112.17515284340388,109.6961964362035,111.55294036865234,2511700,0.0,0
2021-01-21,113.57758968730462,114.6541040944838,111.84923506162825,114.5948486328125,2621800,0.0,0
2021-01-22,113.27142254364911,116.1059192102896,112.38255297387262,115.3158187866211,1829700,0.0,0
2021-01-25,124.28350169617077,126.79209328459912,121.97244839600714,122.75267791748047,4031400,0.0,0
2021-01-26,120.77742284213217,121.32061549231369,118.6342649023559,120.421875,1923000,0.0,0
2021-01-27,118.06142767085441,120.8169194624507,116.86639489271167,117.61698913574219,2043500,0.0,0
2021-01-28,116.48122520066117,116.69850526851494,113.67634869704688,115.78987884521484,2182000,0.0,0
2021-01-29,113.34055991748384,115.41458395418786,112.06651475071595,113.56771087646484,2953100,0.0,0
2021-02-01,114.76273715223165,118.1503123139616,114.76273715223165,116.78738403320312,1525700,0.0,0
2021-02-02,118.96017399944051,121.96257372573514,118.63426143287427,121.84406280517578,2316300,0.0,0
2021-02-03,121.23173382815683,122.12060344469684,119.95768863362086,121.40950775146484,1524800,0.0,0
2021-02-04,119.58239312572151,121.37000327054429,119.3354853141149,120.76754760742188,2499800,0.0,0
2021-02-05,120.61939299712576,124.44152836671343,120.24409586228063,122.48601531982422,2139600,0.0,0
2021-02-08,123.2563688566707,125.290886586775,121.99219467245102,122.59465026855469,2012000,0.0,0
2021-02-09,129.19203293981752,132.09567103585192,128.29328494436763,130.78211975097656,3759800,0.0,0
2021-02-10,131.55249379771067,131.55249379771067,125.90324876254779,129.42909240722656,1825600,0.0,0
2021-02-11,130.72284191899968,132.66847622669601,130.2586541357389,130.83148193359375,979200,0.0,0
2021-02-12,129.5574337292255,131.58208039298353,128.9549932567963,130.48580932617188,1047900,0.0,0
2021-02-16,126.94022463059629,127.94761257660174,123.80943583835898,125.4094009399414,2738800,0.0,0
2021-02-17,124.54029059960128,126.97974836087857,122.09096948674758,125.33039855957031,1890000,0.0,0
2021-02-18,119.9971982595014,123.23662759127266,117.37997390979875,122.78231811523438,2196800,0.0,0
2021-02-19,123.23662671161198,125.01436598344506,121.20210873886961,122.35763549804688,1797000,0.0,0
2021-02-22,118.68363593967612,119.5033716195225,115.95777933456657,116.00715637207031,2767700,0.0,0
2021-02-23,113.5578365267599,119.33547742962023,111.05912330896707,118.76264953613281,2640000,0.0,0
2021-02-24,112.82697426569102,116.87626025115357,110.76282889244116,116.0466537475586,4499000,0.0,0
2021-02-25,113.35042114670367,113.38992729599265,105.89381065779621,107.31600189208984,4536500,0.0,0
2021-02-26,106.66416349365574,108.92583971638193,102.97042512692391,108.49127960205078,5243400,0.0,0
2021-03-01,110.10112851420155,110.11099940089373,106.85182099083765,109.22212982177734,3668700,0.0,0
2021-03-02,110.03198882369884,111.78009262448978,108.42214524455176,108.76781463623047,3323100,0.0,0
2021-03-03,108.48139677085373,110.2492573499835,105.37036482344634,105.9036865234375,3011900,0.0,0
2021-03-04,104.90618019079444,107.898701319262,103.66176285295678,104.94568634033203,3133600,0.0,0
2021-03-05,106.22960550796999,107.74067998213818,103.89879535989758,106.92095184326172,2453200,0.0,0
2021-03-08,104.41236725509835,105.54814459408382,100.49147035126755,100.81739044189453,2935400,0.0,0
2021-03-09,104.20497575055325,109.77521542197903,102.91117368360642,109.31102752685547,4184700,0.0,0
2021-03-10,110.97023566178385,111.7010805966864,103.90867149305068,104.39260864257812,2754400,0.0,0
2021-03-11,108.98770438163449,109.70908037122959,107.04096479607679,107.11013793945312,2736500,0.06,0
2021-03-12,105.23257912208214,106.80380854877261,103.82934808945585,106.67533874511719,1576200,0.0,0
2021-03-15,105.38080585262834,106.36899796117835,104.13568168484925,105.81561279296875,1160900,0.0,0
2021-03-16,106.62593136054728,108.5726710451478,106.16147985740207,107.02120971679688,1658700,0.0,0
2021-03-17,106.48757816587054,107.45600215965078,103.69099283532263,106.98167419433594,2803100,0.0,0
2021-03-18,104.1752051750486,104.70882979226423,103.38465605048653,103.75028228759766,2130800,0.0,0
2021-03-19,103.61194758455382,108.39480161092901,103.49336934923318,107.78211975097656,4599500,0.0,0
2021-03-22,108.00940875062123,110.67752463228342,108.00940875062123,108.76042938232422,2114800,0.0,0
2021-03-23,107.21884975399446,107.24849431261414,105.13376368558781,105.27210998535156,1742400,0.0,0
2021-03-24,104.80764212763141,105.242449024442,101.09204559976415,101.4774398803711,2032800,0.0,0
2021-03-25,99.7184716402483,102.17906793745975,99.42201098498094,100.35091400146484,2479500,0.0,0
2021-03-26,100.57819364406777,103.4044237350491,98.22629909211663,102.71269226074219,2810400,0.0,0
2021-03-29,101.19087139652218,102.97949666459301,100.22243983224564,101.87271881103516,2216500,0.0,0
2021-03-30,101.50709216416668,102.47551618532749,99.70858287127501,101.68496704101562,1566400,0.0,0
2021-03-31,102.5644586838952,104.35308396743702,101.84307513556806,102.04071807861328,2176700,0.0,0
2021-04-01,105.9539599023498,108.3552670462223,105.21281581522011,105.34127807617188,1488600,0.0,0
2021-04-05,106.23064829105974,106.23064829105974,102.78186005289554,104.29379272460938,838000,0.0,0
2021-04-06,104.29379643082046,106.38876642292587,103.89851807806184,106.00336456298828,1038000,0.0,0
2021-04-07,102.1098927096079,103.05855623210641,99.31330722411205,102.16918182373047,2474500,0.0,0
2021-04-08,103.3846571334081,104.89658979503582,102.94985020979487,103.69099426269531,1091000,0.0,0
2021-04-09,104.02698206192532,104.23450904352502,100.90429885594429,102.71269226074219,1517600,0.0,0
2021-04-12,101.13158343066651,103.83923541472087,101.04264975390741,103.51313018798828,1809300,0.0,0
2021-04-13,102.59410821685042,105.94407898605652,102.45576191966197,104.95588684082031,1289700,0.0,0
2021-04-14,107.06073264124598,108.49361576532132,105.39069305429982,105.63774108886719,1928100,0.0,0
2021-04-15,105.02505504391804,105.40057286658211,103.6811131865367,104.59024810791016,1229200,0.0,0
2021-04-16,104.65942719026697,106.06265813950934,104.4222556619078,105.5389175415039,1238200,0.0,0
2021-04-19,106.04289336145268,107.82164218272275,105.28198875081951,105.56856536865234,1414400,0.0,0
2021-04-20,105.56855951937162,105.58832004326528,104.27402279477685,105.46974182128906,2008300,0.0,0
2021-04-21,104.84717536052604,107.8117515208009,104.75824169458518,107.64376068115234,1631800,0.0,0
2021-04-22,107.91057228448366,111.15184864483398,107.71293688390583,110.03518676757812,2603300,0.0,0
2021-04-23,112.19933422084313,113.5432761073234,111.10244036438779,111.29019927978516,1127900,0.0,0
2021-04-26,109.19522587808135,111.18149408877015,108.79994753446212,111.05302429199219,1094600,0.0,0
2021-04-27,109.85731711743476,111.30007672034785,109.4818068227503,110.38105773925781,1772500,0.0,0
2021-04-28,111.16172697477452,113.93855189642792,110.8652738690076,112.92070770263672,1719200,0.0,0
2021-04-29,114.99592162634625,115.43072103963048,112.70331617148396,113.74091339111328,1444300,0.0,0
2021-04-30,111.01350136971885,111.83370265521222,110.35141444546609,110.73680877685547,1589100,0.0,0
2021-05-03,110.52928421333431,111.98192779789937,108.99759099111762,109.10629272460938,899900,0.0,0
2021-05-04,109.54109214776315,110.85538944264555,107.09037997585601,107.82164001464844,1886000,0.0,0
2021-05-05,107.81175821630427,108.38491145231934,106.29982548695668,106.41841125488281,843500,0.0,0
2021-05-06,106.38876447968508,108.48372689421751,105.75631460323879,108.4639663696289,1206700,0.0,0
2021-05-07,109.15570369757327,110.65775998364032,108.33550240579376,108.56278991699219,1281700,0.0,0
2021-05-10,108.20703244531201,108.29596611338589,104.22461958078284,104.29379272460938,1772200,0.0,0
2021-05-11,101.84306855032524,105.78596019191929,100.95370175170464,105.19303894042969,1623300,0.0,0
2021-05-12,104.40249136079557,106.49745367703255,102.86090663945652,103.39453125,2092600,0.0,0
2021-05-13,102.3371676856373,104.48155019335088,100.25208182846382,100.3113784790039,2221800,0.0,0
2021-05-14,101.82331592962723,104.64954596766356,101.67508560525043,104.09615325927734,1921400,0.0,0
2021-05-17,103.6811069590388,103.75028010022093,101.83319267061304,103.66134643554688,2194000,0.0,0
2021-05-18,106.15158660226002,108.33549009513995,103.16724997351787,107.3275375366211,2684200,0.0,0
