Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-31,173.05999755859375,173.1999969482422,169.75999450683594,169.88999938964844,1337700,0,0
2021-01-04,170.86000061035156,170.86000061035156,165.25999450683594,166.3699951171875,2882400,0,0
2021-01-05,165.08999633789062,167.27000427246094,162.85000610351562,166.72000122070312,2481000,0,0
2021-01-06,161.0,163.9199981689453,160.25999450683594,161.60000610351562,2218200,0,0
2021-01-07,162.00999450683594,164.7100067138672,161.9499969482422,163.0399932861328,2227700,0,0
2021-01-08,163.05999755859375,165.8800048828125,161.77000427246094,165.39999389648438,2126500,0,0
2021-01-11,164.4199981689453,169.5500030517578,162.22000122070312,166.50999450683594,1692300,0,0
2021-01-12,167.00999450683594,168.5800018310547,162.0,167.00999450683594,1979900,0,0
2021-01-13,167.8000030517578,172.13999938964844,167.5,170.64999389648438,1964500,0,0
2021-01-14,171.25999450683594,173.33999633789062,170.22000122070312,170.9499969482422,1600700,0,0
2021-01-15,171.10000610351562,172.63999938964844,168.80999755859375,169.97000122070312,1407800,0,0
2021-01-19,170.33999633789062,173.89999389648438,168.3699951171875,172.9600067138672,2242100,0,0
2021-01-20,174.0,175.22999572753906,171.69000244140625,172.66000366210938,1406900,0,0
2021-01-21,172.94000244140625,174.49000549316406,170.5800018310547,171.8300018310547,1155000,0,0
2021-01-22,174.27999877929688,175.60000610351562,170.52999877929688,170.89999389648438,2347400,0,0
2021-01-25,172.64999389648438,174.0,165.57000732421875,171.91000366210938,2031500,0,0
2021-01-26,172.82000732421875,174.72999572753906,171.10000610351562,173.75999450683594,1163500,0,0
2021-01-27,169.9600067138672,175.75,167.91000366210938,168.63999938964844,1579700,0,0
2021-01-28,169.32000732421875,172.13999938964844,167.05999755859375,168.47999572753906,1384400,0,0
2021-01-29,167.5,168.8000030517578,163.80999755859375,165.02999877929688,1639500,0,0
2021-02-01,166.1300048828125,173.10000610351562,166.1300048828125,171.6300048828125,1364000,0,0
2021-02-02,173.0,178.17999267578125,172.75,175.08999633789062,1968400,0,0
2021-02-03,177.2899932861328,177.2899932861328,170.89999389648438,171.2899932861328,1684100,0,0
2021-02-04,171.80999755859375,174.58999633789062,170.6999969482422,172.25999450683594,1559200,0,0
2021-02-05,173.52000427246094,174.60000610351562,169.72999572753906,170.24000549316406,2570700,0,0
2021-02-08,172.32000732421875,173.8800048828125,169.3000030517578,169.55999755859375,2146500,0,0
2021-02-09,170.6699981689453,172.9499969482422,168.69000244140625,172.77999877929688,2204900,0,0
2021-02-10,172.80999755859375,174.66000366210938,167.44000244140625,168.02000427246094,2195200,0,0
2021-02-11,169.2100067138672,170.88999938964844,167.5,169.9600067138672,1394000,0,0
2021-02-12,169.4499969482422,173.5500030517578,166.7899932861328,173.3300018310547,1226500,0,0
2021-02-16,174.0,174.85000610351562,168.52000427246094,169.3000030517578,1635200,0,0
2021-02-17,168.5,170.6300048828125,166.50999450683594,170.5,2005400,0,0
2021-02-18,166.91000366210938,167.89999389648438,163.80999755859375,166.64999389648438,2419100,0,0
2021-02-19,168.4199981689453,170.75,166.8000030517578,169.66000366210938,1862300,0,0
2021-02-22,169.3000030517578,169.3000030517578,160.27999877929688,160.82000732421875,2598000,0,0
2021-02-23,157.92999267578125,158.3000030517578,151.41000366210938,153.8000030517578,3870500,0,0
2021-02-24,153.8000030517578,154.91000366210938,149.5800018310547,152.52999877929688,4118600,0,0
2021-02-25,152.5,154.50999450683594,144.02000427246094,145.0800018310547,3873700,0,0
2021-02-26,145.52000427246094,147.4499969482422,140.82000732421875,143.00999450683594,3629500,0,0
2021-03-01,145.47999572753906,151.7899932861328,144.13999938964844,151.25999450683594,2982500,0,0
2021-03-02,151.97999572753906,152.80999755859375,148.8300018310547,149.08999633789062,1954600,0,0
2021-03-03,149.10000610351562,150.3300018310547,143.13999938964844,143.19000244140625,3146700,0,0
2021-03-04,150.0,151.5,137.85000610351562,139.47000122070312,5595700,0,0
2021-03-05,141.25,141.44000244140625,133.13999938964844,136.77000427246094,4702400,0,0
2021-03-08,137.32000732421875,137.91000366210938,130.82000732421875,131.02999877929688,4033400,0,0
2021-03-09,135.99000549316406,138.99000549316406,133.8000030517578,135.8699951171875,4110400,0,0
2021-03-10,138.60000610351562,139.92999267578125,132.72999572753906,133.91000366210938,2497900,0,0
2021-03-11,136.99000549316406,140.10000610351562,135.49000549316406,138.19000244140625,2720500,0,0
2021-03-12,136.69000244140625,137.14999389648438,133.52000427246094,135.9199981689453,2556100,0,0
2021-03-15,137.10000610351562,139.13999938964844,136.35000610351562,138.52999877929688,1947100,0,0
2021-03-16,140.0,142.16000366210938,138.3699951171875,139.02999877929688,2005300,0,0
2021-03-17,137.77999877929688,137.9499969482422,133.27999877929688,137.80999755859375,2883700,0,0
2021-03-18,135.0,136.08999633789062,133.5,133.83999633789062,2254100,0,0
2021-03-19,134.91000366210938,135.42999267578125,131.10000610351562,135.0399932861328,4002700,0,0
2021-03-22,139.3000030517578,143.85000610351562,138.9600067138672,141.1699981689453,2819100,0,0
2021-03-23,141.2100067138672,142.5,138.0399932861328,138.22000122070312,2025500,0,0
2021-03-24,138.00999450683594,138.4499969482422,134.17999267578125,134.94000244140625,2722700,0,0
2021-03-25,133.2100067138672,135.74000549316406,132.22000122070312,132.92999267578125,2071600,0,0
2021-03-26,132.82000732421875,135.25999450683594,131.75,135.19000244140625,1523500,0,0
2021-03-29,135.47000122070312,135.64999389648438,132.6199951171875,135.02999877929688,1479500,0,0
2021-03-30,133.22000122070312,133.52999877929688,130.5500030517578,131.9499969482422,2074700,0,0
2021-03-31,133.5,136.9199981689453,132.75,135.47999572753906,2127900,0,0
2021-04-01,137.5399932861328,141.07000732421875,136.75999450683594,138.27000427246094,1843000,0,0
2021-04-05,138.6300048828125,140.6199951171875,137.42999267578125,140.47999572753906,1783400,0,0
2021-04-06,140.47999572753906,143.08999633789062,140.02000427246094,141.7899932861328,1654900,0,0
2021-04-07,142.6699981689453,142.6699981689453,138.14999389648438,138.7899932861328,1380900,0,0
2021-04-08,140.47999572753906,141.99000549316406,139.66000366210938,139.97999572753906,1207500,0,0
2021-04-09,140.8699951171875,142.30999755859375,138.3699951171875,142.27000427246094,1242700,0,0
2021-04-12,142.77000427246094,146.0,142.1999969482422,144.7100067138672,1941900,0,0
2021-04-13,145.92999267578125,148.4199981689453,145.05999755859375,147.69000244140625,1795700,0,0
2021-04-14,149.0,151.1199951171875,145.52999877929688,146.0800018310547,1822600,0,0
2021-04-15,147.0,149.4600067138672,146.17999267578125,148.3800048828125,1313500,0,0
2021-04-16,141.0,141.1999969482422,134.14999389648438,134.25,6865000,0,0
2021-04-19,134.24000549316406,134.6300048828125,131.80999755859375,132.89999389648438,2667900,0,0
2021-04-20,132.33999633789062,133.66000366210938,131.3300018310547,131.74000549316406,1327800,0,0
2021-04-21,131.8300018310547,134.0,131.22000122070312,133.74000549316406,1834500,0,0
2021-04-22,133.36000061035156,136.35000610351562,133.0500030517578,134.99000549316406,1781600,0,0
2021-04-23,134.91000366210938,136.82000732421875,133.0,133.1999969482422,2023800,0,0
2021-04-26,134.86000061035156,135.47999572753906,132.2899932861328,134.0,2798000,0,0
2021-04-27,129.6699981689453,130.00999450683594,126.9000015258789,127.38999938964844,4774500,0,0
2021-04-28,127.19999694824219,129.10000610351562,125.69999694824219,128.1300048828125,2758100,0,0
2021-04-29,128.52000427246094,130.22000122070312,126.26000213623047,128.2100067138672,1806800,0,0
2021-04-30,126.80999755859375,128.05999755859375,125.4000015258789,126.41999816894531,1688200,0,0
2021-05-03,126.72000122070312,127.0,122.97000122070312,122.97000122070312,1656000,0,0
2021-05-04,121.56999969482422,121.56999969482422,117.58999633789062,119.8499984741211,2094300,0,0
2021-05-05,120.55999755859375,121.30000305175781,116.45999908447266,116.83999633789062,2805200,0,0
2021-05-06,116.83000183105469,117.5,113.8499984741211,116.77999877929688,2210800,0,0
2021-05-07,118.04000091552734,120.55999755859375,116.83999633789062,117.81999969482422,1645400,0,0
2021-05-10,117.0,117.04000091552734,113.68000030517578,113.73999786376953,2132200,0,0
2021-05-11,110.5,119.62000274658203,110.27999877929688,119.25,2994800,0,0
2021-05-12,116.20999908447266,118.18000030517578,115.0999984741211,115.69000244140625,2125700,0,0
2021-05-13,115.94999694824219,117.68000030517578,111.5,111.98999786376953,2420200,0,0
2021-05-14,113.69000244140625,116.45999908447266,112.70999908447266,116.22000122070312,1352700,0,0
2021-05-17,116.0,116.43000030517578,112.81999969482422,114.37000274658203,1307200,0,0
2021-05-18,115.23999786376953,117.0199966430664,114.29000091552734,115.41000366210938,2410600,0,0
2021-05-19,112.58000183105469,114.01000213623047,112.11000061035156,112.7699966430664,2416000,0,0
2021-05-20,114.51000213623047,116.66999816894531,114.02999877929688,116.26000213623047,2823200,0,0
2021-05-21,119.0,120.08999633789062,117.06999969482422,118.05000305175781,1649500,0,0
