Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-31,193.84089432214256,194.86692797385678,192.16736901839252,194.42861938476562,497700,0.0,0
2021-01-04,194.3788586816342,195.76350731673415,189.53756647544827,189.95594787597656,1039800,0.0,0
2021-01-05,189.54751364569844,192.72523613451133,188.72070691663035,191.01185607910156,1362500,0.0,0
2021-01-06,189.96589558779618,194.97653134136672,189.96589558779618,192.55589294433594,1049100,0.0,0
2021-01-07,195.21559454269408,202.34803503419764,194.20948811360455,201.1825408935547,1021000,0.0,0
2021-01-08,201.40168349303016,206.20313578659668,201.40168349303016,204.7686767578125,640900,0.0,0
2021-01-11,203.3940095331367,205.22693807491808,201.19252535639822,201.56109619140625,601800,0.0,0
2021-01-12,202.36797270114656,205.03766400725772,200.04695535821446,202.5672149658203,376000,0.0,0
2021-01-13,202.41776864991076,202.50741854250955,199.36955070115513,200.1864013671875,539700,0.0,0
2021-01-14,204.28058722561642,208.96249146443355,202.10897126460245,206.711181640625,675100,0.0,0
2021-01-15,204.68899325132722,207.7770657722307,201.6806297916636,206.59164428710938,777300,0.0,0
2021-01-19,207.42841120572595,212.5785073884298,206.6115757121694,206.711181640625,537500,0.0,0
2021-01-20,206.7111939406176,208.98241596523232,203.33424420401536,208.15562438964844,789300,0.0,0
2021-01-21,209.1915860986644,211.1739308865694,206.83071449099515,206.9203643798828,598300,0.0,0
2021-01-22,206.65143645867866,206.65143645867866,202.42776769322202,203.82237243652344,498200,0.0,0
2021-01-25,203.1449719515305,210.7157221215887,203.11508865138967,210.3072967529297,608400,0.0,0
2021-01-26,211.2337222115242,211.7317974748383,205.78477761486377,206.74107360839844,622100,0.0,0
2021-01-27,203.82235014820074,203.82235014820074,192.01796089017694,193.58192443847656,755900,0.0,0
2021-01-28,194.54820964931528,199.70826231353738,193.3727440709466,198.25389099121094,707200,0.0,0
2021-01-29,196.94891397860837,197.905209907423,192.97426817433902,193.25318908691406,740100,0.0,0
2021-02-01,196.25162137081924,199.06077331786076,193.7014783040322,198.33358764648438,762900,0.0,0
2021-02-02,199.95727200883886,205.41618732158554,199.56877394826466,203.78250122070312,500100,0.0,0
2021-02-03,204.02157411688066,205.20699560114767,196.8592498481142,196.98875427246094,735300,0.0,0
2021-02-04,198.2339511490273,205.1970486739686,196.18188353396505,203.5733184814453,1246500,0.0,0
2021-02-05,206.56177160377186,211.14407005734796,204.7985809344547,208.6437225341797,779100,0.0,0
2021-02-08,208.5142089878116,213.17618556297853,207.80693551591293,211.43292236328125,631900,0.0,0
2021-02-09,211.22373881645157,215.47730557625775,210.84521197416205,214.6903533935547,650600,0.0,0
2021-02-10,215.48728617993865,216.3140777293456,207.17937935288248,208.1855010986328,930700,0.0,0
2021-02-11,209.92873869690226,210.5861864023789,204.1510633938939,207.23912048339844,680600,0.0,0
2021-02-12,205.90429813213623,211.92105545441942,205.90429813213623,211.39309692382812,316200,0.0,0
